from.id,to.id,reaction,subsystem,arrows
10fthf5glu[c],10fthf5glu[l],10FTHF5GLUtl,"Transport, lysosomal",to
10fthf5glu[m],10fthf5glu[c],10FTHF5GLUtm,"Transport, mitochondrial",to
10fthf6glu[c],10fthf6glu[l],10FTHF6GLUtl,"Transport, lysosomal",to
10fthf6glu[m],10fthf6glu[c],10FTHF6GLUtm,"Transport, mitochondrial",to
10fthf7glu[c],10fthf7glu[l],10FTHF7GLUtl,"Transport, lysosomal",to
10fthf7glu[m],10fthf7glu[c],10FTHF7GLUtm,"Transport, mitochondrial",to
10fthf[c],10fthf[l],10FTHFtl,"Transport, lysosomal",to;from
10fthf[c],10fthf[m],10FTHFtm,"Transport, mitochondrial",to;from
11docrtsl[c],11docrtsl[m],11DOCRTSLtm,"Transport, mitochondrial",to;from
11docrtsl[c],11docrtsl[r],11DOCRTSLtr,"Transport, endoplasmic reticular",to;from
11docrtstrn[c],11docrtstrn[m],11DOCRTSTRNtm,"Transport, mitochondrial",to;from
11docrtstrn[c],11docrtstrn[r],11DOCRTSTRNtr,"Transport, endoplasmic reticular",to;from
13dampp[c],bamppald[c],13DAMPPOX,Beta-Alanine metabolism,to
13dampp[c],h2o2[c],13DAMPPOX,Beta-Alanine metabolism,to
13dampp[c],nh4[c],13DAMPPOX,Beta-Alanine metabolism,to
h2o[c],bamppald[c],13DAMPPOX,Beta-Alanine metabolism,to
h2o[c],h2o2[c],13DAMPPOX,Beta-Alanine metabolism,to
h2o[c],nh4[c],13DAMPPOX,Beta-Alanine metabolism,to
o2[c],bamppald[c],13DAMPPOX,Beta-Alanine metabolism,to
o2[c],h2o2[c],13DAMPPOX,Beta-Alanine metabolism,to
o2[c],nh4[c],13DAMPPOX,Beta-Alanine metabolism,to
o2[m],h2o[m],1a_24_25VITD2Hm,Vitamin D metabolism,to
o2[m],1a2425thvitd2[m],1a_24_25VITD2Hm,Vitamin D metabolism,to
o2[m],nadp[m],1a_24_25VITD2Hm,Vitamin D metabolism,to
2425dhvitd2[m],h2o[m],1a_24_25VITD2Hm,Vitamin D metabolism,to
2425dhvitd2[m],1a2425thvitd2[m],1a_24_25VITD2Hm,Vitamin D metabolism,to
2425dhvitd2[m],nadp[m],1a_24_25VITD2Hm,Vitamin D metabolism,to
h[m],h2o[m],1a_24_25VITD2Hm,Vitamin D metabolism,to
h[m],1a2425thvitd2[m],1a_24_25VITD2Hm,Vitamin D metabolism,to
h[m],nadp[m],1a_24_25VITD2Hm,Vitamin D metabolism,to
nadph[m],h2o[m],1a_24_25VITD2Hm,Vitamin D metabolism,to
nadph[m],1a2425thvitd2[m],1a_24_25VITD2Hm,Vitamin D metabolism,to
nadph[m],nadp[m],1a_24_25VITD2Hm,Vitamin D metabolism,to
o2[m],h2o[m],1a_25VITD2Hm,Vitamin D metabolism,to
o2[m],1a2425thvitd2[m],1a_25VITD2Hm,Vitamin D metabolism,to
o2[m],nadp[m],1a_25VITD2Hm,Vitamin D metabolism,to
h[m],h2o[m],1a_25VITD2Hm,Vitamin D metabolism,to
h[m],1a2425thvitd2[m],1a_25VITD2Hm,Vitamin D metabolism,to
h[m],nadp[m],1a_25VITD2Hm,Vitamin D metabolism,to
nadph[m],h2o[m],1a_25VITD2Hm,Vitamin D metabolism,to
nadph[m],1a2425thvitd2[m],1a_25VITD2Hm,Vitamin D metabolism,to
nadph[m],nadp[m],1a_25VITD2Hm,Vitamin D metabolism,to
1a25dhvitd2[m],h2o[m],1a_25VITD2Hm,Vitamin D metabolism,to
1a25dhvitd2[m],1a2425thvitd2[m],1a_25VITD2Hm,Vitamin D metabolism,to
1a25dhvitd2[m],nadp[m],1a_25VITD2Hm,Vitamin D metabolism,to
h2o[c],h[c],1MNCAMti,"Transport, extracellular",to
h2o[c],1mncam[e],1MNCAMti,"Transport, extracellular",to
h2o[c],adp[c],1MNCAMti,"Transport, extracellular",to
h2o[c],pi[c],1MNCAMti,"Transport, extracellular",to
1mncam[c],h[c],1MNCAMti,"Transport, extracellular",to
1mncam[c],1mncam[e],1MNCAMti,"Transport, extracellular",to
1mncam[c],adp[c],1MNCAMti,"Transport, extracellular",to
1mncam[c],pi[c],1MNCAMti,"Transport, extracellular",to
atp[c],h[c],1MNCAMti,"Transport, extracellular",to
atp[c],1mncam[e],1MNCAMti,"Transport, extracellular",to
atp[c],adp[c],1MNCAMti,"Transport, extracellular",to
atp[c],pi[c],1MNCAMti,"Transport, extracellular",to
h[x],Lpipecol[x],1PPDCRp,Lysine metabolism,to
h[x],nad[x],1PPDCRp,Lysine metabolism,to
1pipdn2c[x],Lpipecol[x],1PPDCRp,Lysine metabolism,to
1pipdn2c[x],nad[x],1PPDCRp,Lysine metabolism,to
nadh[x],Lpipecol[x],1PPDCRp,Lysine metabolism,to
nadh[x],nad[x],1PPDCRp,Lysine metabolism,to
2425dhvitd2[c],2425dhvitd2[e],24_25DHVITD2t,"Transport, extracellular",to
2425dhvitd2[m],2425dhvitd2[c],24_25DHVITD2tm,"Transport, mitochondrial",to
2425dhvitd3[c],2425dhvitd3[e],24_25DHVITD3t,"Transport, extracellular",to
2425dhvitd3[m],2425dhvitd3[c],24_25DHVITD3tm,"Transport, mitochondrial",to
o2[m],h2o[m],24_25VITD2Hm,Vitamin D metabolism,to
o2[m],2425dhvitd2[m],24_25VITD2Hm,Vitamin D metabolism,to
